entry_number,import_date,product_id,duty_paid,quantity,description,is_eligible,days_since_import,potential_refund
E10344,2019-08-16 00:29:30.219949,PROD-6389,3787.79,31,Sample Product 45,False,2024,0.0
E85666,2019-09-14 00:29:30.219949,PROD-8177,2236.72,70,Sample Product 46,False,1995,0.0
E85252,2020-04-11 00:29:30.219949,PROD-3483,1586.13,18,Sample Product 47,True,1785,1570.2687
E72452,2021-06-15 00:29:30.219949,PROD-6252,4566.73,13,Sample Product 48,True,1355,4521.0626999999995
E57843,2024-06-06 00:29:30.219949,PROD-6186,2135.29,90,Sample Product 49,True,268,2113.9371
E18761,2023-03-12 00:29:30.219949,PROD-7789,3995.63,89,Sample Product 50,True,720,3955.6737000000003
E41554,2021-09-06 00:29:30.219949,PROD-7436,3571.0,57,Sample Product 51,True,1272,3535.29
E25450,2023-08-27 00:29:30.219949,PROD-6252,4381.24,12,Sample Product 52,True,552,4337.4276
E77886,2022-06-26 00:29:30.219949,PROD-6719,4991.65,28,Sample Product 53,True,979,4941.733499999999
E77067,2023-01-10 00:29:30.219949,PROD-5547,4577.99,65,Sample Product 54,True,781,4532.210099999999
E62894,2022-09-01 00:29:30.219949,PROD-8074,327.27,31,Sample Product 55,True,912,323.9973
E87390,2025-01-27 00:29:30.219949,PROD-3596,2993.81,9,Sample Product 56,True,33,2963.8719
E19247,2022-10-26 00:29:30.219949,PROD-1980,2830.25,42,Sample Product 57,True,857,2801.9474999999998
E45841,2024-12-15 00:29:30.219949,PROD-4559,3479.4,52,Sample Product 58,True,76,3444.606
E57490,2020-09-09 00:29:30.219949,PROD-9634,4208.62,52,Sample Product 59,True,1634,4166.5338
E84488,2020-06-14 00:29:30.219949,PROD-3483,1289.13,100,Sample Product 60,True,1721,1276.2387
E44911,2023-05-15 00:29:30.219949,PROD-3220,1827.11,84,Sample Product 61,True,656,1808.8389
E33825,2023-12-28 00:29:30.219949,PROD-9837,2533.28,11,Sample Product 62,True,429,2507.9472
E40566,2022-09-17 00:29:30.219949,PROD-1980,2250.22,64,Sample Product 63,True,896,2227.7178
E24400,2021-05-23 00:29:30.219949,PROD-6539,998.29,20,Sample Product 64,True,1378,988.3071
E21727,2023-08-26 00:29:30.219949,PROD-6719,1734.89,77,Sample Product 65,True,553,1717.5411000000001
E64577,2021-08-08 00:29:30.219949,PROD-6539,4242.49,92,Sample Product 66,True,1301,4200.0651
E41609,2023-01-24 00:29:30.219949,PROD-3220,4165.44,78,Sample Product 67,True,767,4123.785599999999
E66421,2023-04-09 00:29:30.219949,PROD-8011,1337.72,77,Sample Product 68,True,692,1324.3428000000001
E73158,2022-06-17 00:29:30.219949,PROD-7789,1963.06,18,Sample Product 69,True,988,1943.4294
E86310,2021-01-03 00:29:30.219949,PROD-5178,3405.27,31,Sample Product 70,True,1518,3371.2173
E55568,2020-02-21 00:29:30.219949,PROD-6252,3715.08,66,Sample Product 71,False,1835,0.0
E44925,2021-09-03 00:29:30.219949,PROD-7186,2644.04,39,Sample Product 72,True,1275,2617.5996
E63174,2021-12-26 00:29:30.219949,PROD-6698,2020.85,11,Sample Product 73,True,1161,2000.6415
E98888,2019-10-31 00:29:30.219949,PROD-8942,715.08,39,Sample Product 74,False,1948,0.0
E77976,2019-06-17 00:29:30.219949,PROD-9634,2269.31,4,Sample Product 75,False,2084,0.0
E96182,2024-11-13 00:29:30.219949,PROD-1483,1600.81,71,Sample Product 76,True,108,1584.8019
E88663,2020-06-23 00:29:30.219949,PROD-5935,3032.99,2,Sample Product 77,True,1712,3002.6600999999996
E54254,2022-09-24 00:29:30.219949,PROD-6252,2708.19,51,Sample Product 78,True,889,2681.1081
E82263,2020-03-31 00:29:30.219949,PROD-7436,1970.53,85,Sample Product 79,True,1796,1950.8247
E46690,2024-10-04 00:29:30.219949,PROD-2208,1324.98,77,Sample Product 80,True,148,1311.7302
E64444,2023-01-19 00:29:30.219949,PROD-6310,139.83,50,Sample Product 81,True,772,138.4317
E57492,2019-11-22 00:29:30.219949,PROD-7436,2384.26,57,Sample Product 82,False,1926,0.0
E65249,2021-02-18 00:29:30.219949,PROD-9309,4864.49,14,Sample Product 83,True,1472,4815.8451
E25422,2023-04-21 00:29:30.219949,PROD-8074,3007.46,59,Sample Product 84,True,680,2977.3854
E50533,2019-12-31 00:29:30.219949,PROD-8753,4418.28,64,Sample Product 85,False,1887,0.0
E30165,2023-05-29 00:29:30.219949,PROD-8255,982.47,62,Sample Product 86,True,642,972.6453
E57151,2021-09-17 00:29:30.219949,PROD-9309,1108.3,3,Sample Product 87,True,1261,1097.2169999999999
E47902,2024-06-14 00:29:30.219949,PROD-8255,1218.95,17,Sample Product 88,True,260,1206.7605
E92743,2020-05-04 00:29:30.219949,PROD-5935,2568.41,11,Sample Product 89,True,1762,2542.7259
E79513,2021-11-27 00:29:30.219949,PROD-8942,2522.83,53,Sample Product 90,True,1190,2497.6016999999997
E79539,2022-05-26 00:29:30.219949,PROD-4262,4184.9,30,Sample Product 91,True,1010,4143.0509999999995
E57856,2024-01-04 00:29:30.219949,PROD-1691,3217.82,57,Sample Product 92,True,422,3185.6418000000003
E55357,2023-03-08 00:29:30.219949,PROD-8177,3956.22,40,Sample Product 93,True,724,3916.6578
E62588,2023-03-28 00:29:30.219949,PROD-6719,4421.06,56,Sample Product 94,True,704,4376.8494
E46454,2023-06-03 00:29:30.219949,PROD-3881,819.73,27,Sample Product 95,True,637,811.5327
E77694,2020-08-26 00:29:30.219949,PROD-4262,3199.93,61,Sample Product 96,True,1648,3167.9307
E45764,2025-01-15 00:29:30.219949,PROD-1838,197.37,12,Sample Product 97,True,45,195.3963
E94989,2021-03-30 00:29:30.219949,PROD-3220,4366.59,16,Sample Product 98,True,1432,4322.9241
E44223,2024-12-06 00:29:30.219949,PROD-9009,3399.02,31,Sample Product 99,True,85,3365.0298
E10535,2019-03-19 00:29:30.219949,PROD-8942,4879.45,51,Sample Product 100,False,2174,0.0
E11939,2021-03-27 00:29:30.219949,PROD-6719,4610.57,95,Sample Product 101,True,1435,4564.4643
E61722,2022-09-01 00:29:30.219949,PROD-5547,2360.04,41,Sample Product 102,True,912,2336.4396
E98193,2023-05-11 00:29:30.219949,PROD-5935,3743.77,88,Sample Product 103,True,660,3706.3323
E95095,2020-03-07 00:29:30.219949,PROD-6539,4134.59,83,Sample Product 104,True,1820,4093.2441
E88339,2023-02-14 00:29:30.219949,PROD-1691,1384.19,93,Sample Product 105,True,746,1370.3481
E45365,2022-09-17 00:29:30.219949,PROD-8177,227.39,22,Sample Product 106,True,896,225.1161
E28785,2024-11-09 00:29:30.219949,PROD-3483,1496.84,15,Sample Product 107,True,112,1481.8716
E92044,2019-10-08 00:29:30.219949,PROD-2064,296.59,49,Sample Product 108,False,1971,0.0
E28224,2021-07-01 00:29:30.219949,PROD-6310,546.1,51,Sample Product 109,True,1339,540.639
E70214,2020-06-21 00:29:30.219949,PROD-7436,1848.06,35,Sample Product 110,True,1714,1829.5793999999999
E71547,2020-05-08 00:29:30.219949,PROD-6310,527.55,50,Sample Product 111,True,1758,522.2745
E74253,2020-05-09 00:29:30.219949,PROD-9309,4450.96,81,Sample Product 112,True,1757,4406.4504
E50655,2019-04-20 00:29:30.219949,PROD-3220,2248.17,45,Sample Product 113,False,2142,0.0
E42046,2023-09-12 00:29:30.219949,PROD-1483,4741.74,97,Sample Product 114,True,536,4694.3225999999995
E35990,2019-03-15 00:29:30.219949,PROD-9634,1021.69,59,Sample Product 115,False,2178,0.0
E16486,2024-06-13 00:29:30.219949,PROD-2208,4674.12,38,Sample Product 116,True,261,4627.3787999999995
E30641,2023-09-08 00:29:30.219949,PROD-3881,1889.53,6,Sample Product 117,True,540,1870.6347
E83288,2020-11-03 00:29:30.219949,PROD-2513,4342.9,75,Sample Product 118,True,1579,4299.471
E46273,2021-08-23 00:29:30.219949,PROD-6719,2104.71,91,Sample Product 119,True,1286,2083.6629
E56650,2024-10-31 00:29:30.219949,PROD-1838,4791.96,7,Sample Product 120,True,121,4744.0404
E66660,2023-06-21 00:29:30.219949,PROD-7436,4420.95,13,Sample Product 121,True,619,4376.7405
E49337,2024-07-30 00:29:30.219949,PROD-5178,4789.63,86,Sample Product 122,True,214,4741.7337
E49929,2023-08-15 00:29:30.219949,PROD-8074,3267.52,53,Sample Product 123,True,564,3234.8448
E54344,2024-10-30 00:29:30.219949,PROD-9837,4952.96,37,Sample Product 124,True,122,4903.4304
E84001,2022-08-04 00:29:30.219949,PROD-8011,825.26,35,Sample Product 125,True,940,817.0074
E38608,2021-12-17 00:29:30.219949,PROD-1483,4407.33,3,Sample Product 126,True,1170,4363.2567
E37395,2023-02-06 00:29:30.219949,PROD-5178,4568.8,48,Sample Product 127,True,754,4523.112
E32725,2023-06-19 00:29:30.219949,PROD-1980,3756.9,71,Sample Product 128,True,621,3719.331
E67063,2020-10-11 00:29:30.219949,PROD-8753,662.44,5,Sample Product 129,True,1602,655.8156
E67937,2021-02-08 00:29:30.219949,PROD-3596,4324.39,56,Sample Product 130,True,1482,4281.1461
E19232,2020-07-04 00:29:30.219949,PROD-2146,998.88,85,Sample Product 131,True,1701,988.8912
E96964,2021-11-14 00:29:30.219949,PROD-2208,3026.72,40,Sample Product 132,True,1203,2996.4527999999996
E23750,2021-05-05 00:29:30.219949,PROD-8390,4898.69,25,Sample Product 133,True,1396,4849.7031
E58127,2022-09-03 00:29:30.219949,PROD-2267,3666.99,97,Sample Product 134,True,910,3630.3201
E34821,2019-07-19 00:29:30.219949,PROD-8255,223.38,7,Sample Product 135,False,2052,0.0
E44743,2022-11-13 00:29:30.219949,PROD-6698,3999.07,23,Sample Product 136,True,839,3959.0793000000003
E11365,2021-04-13 00:29:30.219949,PROD-4262,1524.48,2,Sample Product 137,True,1418,1509.2352
E78512,2024-03-26 00:29:30.219949,PROD-3596,4875.46,28,Sample Product 138,True,340,4826.7054
E48606,2022-09-06 00:29:30.219949,PROD-6698,4346.54,75,Sample Product 139,True,907,4303.0746
E57112,2020-09-25 00:29:30.219949,PROD-6252,4137.38,98,Sample Product 140,True,1618,4096.0062
E96118,2020-11-06 00:29:30.219949,PROD-6186,1442.32,43,Sample Product 141,True,1576,1427.8968
E95608,2019-08-24 00:29:30.219949,PROD-6186,4192.68,52,Sample Product 142,False,2016,0.0
E26554,2020-04-29 00:29:30.219949,PROD-8074,383.38,33,Sample Product 143,True,1767,379.5462
E81634,2021-12-05 00:29:30.219949,PROD-6186,3484.67,62,Sample Product 144,True,1182,3449.8233
E53096,2022-04-09 00:29:30.219949,PROD-8705,4832.6,77,Sample Product 145,True,1057,4784.274
E11446,2021-01-25 00:29:30.219949,PROD-8687,914.39,61,Sample Product 146,True,1496,905.2461
E68630,2023-06-10 00:29:30.219949,PROD-4559,4837.06,2,Sample Product 147,True,630,4788.6894
E29943,2019-10-21 00:29:30.219949,PROD-8011,4548.78,87,Sample Product 148,False,1958,0.0
E11436,2021-12-28 00:29:30.219949,PROD-2267,3776.65,33,Sample Product 149,True,1159,3738.8835
E61831,2025-02-27 00:29:30.219949,PROD-8255,4293.76,59,Sample Product 150,True,2,4250.8224
E24244,2023-12-27 00:29:30.219949,PROD-6698,1489.29,9,Sample Product 151,True,430,1474.3971
E59733,2021-07-26 00:29:30.219949,PROD-3220,716.43,96,Sample Product 152,True,1314,709.2656999999999
E89134,2025-02-14 00:29:30.219949,PROD-6840,842.88,21,Sample Product 153,True,15,834.4512
E90179,2023-03-05 00:29:30.219949,PROD-9009,2074.17,84,Sample Product 154,True,727,2053.4283
E54931,2024-04-09 00:29:30.219949,PROD-1838,1762.15,31,Sample Product 155,True,326,1744.5285000000001
E62180,2019-03-19 00:29:30.219949,PROD-2064,3668.4,9,Sample Product 156,False,2174,0.0
E90286,2023-12-11 00:29:30.219949,PROD-6310,927.29,36,Sample Product 157,True,446,918.0170999999999
E34284,2022-05-22 00:29:30.219949,PROD-6127,3840.95,40,Sample Product 158,True,1014,3802.5404999999996
E67265,2020-08-30 00:29:30.219949,PROD-2146,2348.07,43,Sample Product 159,True,1644,2324.5893
E71643,2025-02-07 00:29:30.219949,PROD-8331,339.57,66,Sample Product 160,True,22,336.1743
E29716,2020-04-05 00:29:30.219949,PROD-4559,3483.42,38,Sample Product 161,True,1791,3448.5858
E20232,2020-03-12 00:29:30.219949,PROD-2513,2426.88,71,Sample Product 162,True,1815,2402.6112000000003
E13018,2023-08-10 00:29:30.219949,PROD-2353,685.76,64,Sample Product 163,True,569,678.9024
E51962,2024-10-31 00:29:30.219949,PROD-6840,1685.67,45,Sample Product 164,True,121,1668.8133
E71211,2020-02-15 00:29:30.219949,PROD-6782,2042.61,85,Sample Product 165,False,1841,0.0
E59333,2020-11-13 00:29:30.219949,PROD-1483,1847.98,97,Sample Product 166,True,1569,1829.5002
E54040,2022-09-10 00:29:30.219949,PROD-5547,3652.36,25,Sample Product 167,True,903,3615.8364
E39119,2025-01-16 00:29:30.219949,PROD-2267,4091.75,52,Sample Product 168,True,44,4050.8325
E67801,2020-02-13 00:29:30.219949,PROD-6389,2896.06,44,Sample Product 169,False,1843,0.0
E58134,2024-10-16 00:29:30.219949,PROD-6698,4737.13,78,Sample Product 170,True,136,4689.7587
E19716,2020-11-03 00:29:30.219949,PROD-6389,4776.14,33,Sample Product 171,True,1579,4728.3786
E44431,2024-07-25 00:29:30.219949,PROD-8177,4096.13,61,Sample Product 172,True,219,4055.1687
E35908,2019-10-03 00:29:30.219949,PROD-1691,2477.59,97,Sample Product 173,False,1976,0.0
E87803,2020-05-30 00:29:30.219949,PROD-5178,745.5,70,Sample Product 174,True,1736,738.045
E53713,2023-07-06 00:29:30.219949,PROD-1483,645.06,31,Sample Product 175,True,604,638.6093999999999
E59406,2024-07-27 00:29:30.219949,PROD-3483,1272.09,36,Sample Product 176,True,217,1259.3691
E98339,2023-05-03 00:29:30.219949,PROD-2883,1679.24,73,Sample Product 177,True,668,1662.4476
E98783,2020-08-13 00:29:30.219949,PROD-3483,4492.5,19,Sample Product 178,True,1661,4447.575
E47225,2024-01-22 00:29:30.219949,PROD-9309,1197.74,31,Sample Product 179,True,404,1185.7626
E90945,2020-08-04 00:29:30.219949,PROD-5420,1196.29,11,Sample Product 180,True,1670,1184.3271
E83024,2023-03-02 00:29:30.219949,PROD-5178,743.82,48,Sample Product 181,True,730,736.3818
E29268,2022-01-06 00:29:30.219949,PROD-9309,4111.9,58,Sample Product 182,True,1150,4070.7809999999995
E81041,2024-10-29 00:29:30.219949,PROD-3220,4430.97,79,Sample Product 183,True,123,4386.6603000000005
E21351,2021-04-20 00:29:30.219949,PROD-5547,1124.9,58,Sample Product 184,True,1411,1113.651
E81425,2023-10-12 00:29:30.219949,PROD-6539,2768.91,100,Sample Product 185,True,506,2741.2209
E15733,2022-03-23 00:29:30.219949,PROD-5178,784.46,99,Sample Product 186,True,1074,776.6154
E12920,2019-04-11 00:29:30.219949,PROD-6389,2061.41,91,Sample Product 187,False,2151,0.0
E95785,2020-11-17 00:29:30.219949,PROD-1483,1505.97,33,Sample Product 188,True,1565,1490.9103
E59392,2021-01-07 00:29:30.219949,PROD-6252,2398.39,6,Sample Product 189,True,1514,2374.4060999999997
E79456,2023-08-12 00:29:30.219949,PROD-1980,4237.73,77,Sample Product 190,True,567,4195.3526999999995
E22548,2019-05-24 00:29:30.219949,PROD-6310,840.67,25,Sample Product 191,False,2108,0.0
E94171,2019-05-20 00:29:30.219949,PROD-8687,4929.37,99,Sample Product 192,False,2112,0.0
E44745,2024-07-14 00:29:30.219949,PROD-6698,3219.64,74,Sample Product 193,True,230,3187.4436
E81482,2020-04-02 00:29:30.219949,PROD-8074,2994.62,36,Sample Product 194,True,1794,2964.6738
E62164,2021-10-05 00:29:30.219949,PROD-7789,2117.12,98,Sample Product 195,True,1243,2095.9487999999997
E93840,2019-04-19 00:29:30.219949,PROD-6310,4212.54,50,Sample Product 196,False,2143,0.0
E92837,2021-03-07 00:29:30.219949,PROD-5935,3102.85,16,Sample Product 197,True,1455,3071.8215
E30686,2023-07-26 00:29:30.219949,PROD-2208,1333.13,7,Sample Product 198,True,584,1319.7987
E22939,2022-06-25 00:29:30.219949,PROD-4559,1617.82,74,Sample Product 199,True,980,1601.6417999999999
